date,media_source,country_code,total_ltv,new_users,cost,romi
2020-07-01,Facebook Ads,AD,0.0,0.0,0.17,-1.0
2020-07-01,Facebook Ads,AE,42.62036746510044,3.0,59.3,-0.28127542217368556
2020-07-01,Facebook Ads,AF,0.0,0.0,1.23,-1.0
2020-07-01,Facebook Ads,AG,0.0,0.0,0.23,-1.0
2020-07-01,Facebook Ads,AI,0.0,0.0,0.18,-1.0
2020-07-01,Facebook Ads,AL,0.0,0.0,1.6,-1.0
2020-07-01,Facebook Ads,AM,0.0,0.0,2.07,-1.0
2020-07-01,Facebook Ads,AO,0.0,0.0,2.63,-1.0
2020-07-01,Facebook Ads,AQ,0.0,0.0,0.01,-1.0
2020-07-01,Facebook Ads,AR,0.0,0.0,6.73,-1.0
2020-07-01,Facebook Ads,AS,0.0,0.0,0.13,-1.0
2020-07-01,Facebook Ads,AT,14.357630496858938,1.0,7.53,0.906723837564268
2020-07-01,Facebook Ads,AU,135.2307349302009,7.0,73.72,0.8343832736055466
2020-07-01,Facebook Ads,AW,0.0,0.0,0.18,-1.0
2020-07-01,Facebook Ads,AZ,0.0,0.0,3.34,-1.0
2020-07-01,Facebook Ads,BA,0.0,0.0,0.62,-1.0
2020-07-01,Facebook Ads,BB,0.0,0.0,0.6,-1.0
2020-07-01,Facebook Ads,BD,0.0,0.0,0.04,-1.0
2020-07-01,Facebook Ads,BE,14.357630496858938,1.0,13.26,0.08277756386568164
2020-07-01,Facebook Ads,BF,0.0,0.0,0.69,-1.0
2020-07-01,Facebook Ads,BG,0.0,0.0,3.89,-1.0
2020-07-01,Facebook Ads,BH,0.0,0.0,3.85,-1.0
2020-07-01,Facebook Ads,BI,0.0,0.0,0.14,-1.0
2020-07-01,Facebook Ads,BJ,0.0,0.0,0.82,-1.0
2020-07-01,Facebook Ads,BL,0.0,0.0,0.13,-1.0
2020-07-01,Facebook Ads,BM,49.99,1.0,0.92,53.336956521739125
2020-07-01,Facebook Ads,BN,14.357630496858938,1.0,1.22,10.768549587589293
2020-07-01,Facebook Ads,BO,0.0,0.0,1.0,-1.0
2020-07-01,Facebook Ads,BQ,0.0,0.0,0.08,-1.0
2020-07-01,Facebook Ads,BR,184.38657633178437,13.0,249.99,-0.26242419164052816
